sentence	paraphrase	reference
"Ms. Boyd put it more simply: ""Zora saved Eatonville."""	"Ms. Boyd put it more simply: ""Eatonville was saved by Zora."""	" Frau Boyd drückte es etwas einfacher aus: ""Zora rettete Eatonville."" "
Over here in New York we all speak fluent finance	Over here in New York fluent finance is all spoken by us	 Hier bei uns in New York spricht man fließend Finanzlatein. 
"I've switched, I'm not taking any risks."""	"I've switched, any risks are not being taken by me."""	" ""Ich habe gewechselt, ich gehe kein Risko mehr ein."" "
They carry traffic-style signs depicting mosques with a red line running through.	Traffic - style signs depicting mosques with a red line running through are carried by them.	 Sie tragen Schilder im Stil von Verkehrszeichen auf der eine Moschee abgebildet ist, durchgestrichen mit einer roten Linie. 
Magistrates imposed the six month ban on Glitter after he informed the authorities monitoring him that he wanted to travel to Spain via France.	The six month ban was imposed by magistrates on Glitter after he informed the authorities monitoring him that he wanted to travel to Spain via France.	 Richter erlegten Glitter eine sechsmonatige Sperre auf, nachdem er die ihn kontrollierenden Behörden darüber informierte, er wolle via Frankreich nach Spanien reisen. 
"The passion for the portrait led Bauer to repeat the idea two years ago with ""Portraits of veteran athletes""(""SportARTproject"")."	"Bauer was led by the passion for the portrait to repeat the idea two years ago with ""Portraits of veteran athletes""(""SportARTproject"")."	 Bauers Leidenschaft zu den Porträts führte ihn dazu, diese Idee vor zwei Jahren noch mal aufzugreifen und als `Porträts der Veteranen des Sports' zu verwirklichen (`SportARTproject'). 
A van loaded with two thousand kilos of hashish skips a road block in Alava	A road block in Alava was loaded with two thousand kilos of hashish skips by a van	 In Álava wollten zwei Personen der Kontrolle ihres Wagens, der mit zweitausend Kilo Haschisch beladen war, entgehen. 
Llamazares urges the Andalusian federation of IU to assume its responsibilities in the Silva case	The Andalusian federation of IU is urged by llamazares to assume its responsibilities in the Silva case	 Llamazares besteht darauf, dass der andalusische Verband der Vereinten Linken für den Fall Silva zuständig wird. 
A siviglian dancer pays tribute to another siviglian dancer.	Tribute is paid by a siviglian dancer next to another siviglian dancer.	 Eine Flamencotänzerin aus Sevilla verehrt eine Tänzerin, die auch aus Sevilla stamm. 
Her dances' titles suggested me some elements of flamenco.	Some elements of flamenco were suggested to me by her dances ' titles.	 Ihre Tanzgrundlagen haben mir in Flamenco viel geholfen. 
"""Sometimes God creates perfect people."	"""Sometimes perfect people are created by God."	 `Manchmal schafft Gott perfekte Persönlichkeiten. 
I shot the photo of this post during the Microsoft employees' break, in Redmond, earlier this month.	The photo of this post was shot by me during the Microsoft employees' break, in Redmond, earlier this month.	 Das Foto von diesem Ort habe ich in Redmond, in einem der Erholungsräume für Microsoft Angestellte am Anfang des Monats gemacht. 
Last week, moreover, Microsoft confirmed the delay in developing the new version of Windows Mobile 7.	Last week, moreover, the delay in developing the new version of Windows Mobile 7 was confirmed by Microsoft.	 Übrigens, letzte Woche wurde auch bestätigt, dass die neue Version des Windows Mobile 7 im Verzögerung geraten ist. 
People usually ignore this Naomi's tender heart.	This Naomi 's tender heart is usually ignored by people.	 Die Menschen kennen Naomis gutes Herz nicht. 
Drivers reticent of alcoholism should install the 'alcolock'	The ' alcolock ' should be installed by drivers reticent of alcoholism	 Die Autofahrer, die wegen des Alkoholspiegels rückfällig werden können, werden den `Alcolock' installieren müssen. 
Just tomorrow, the Congress of Deputies will vote a PSOE's initiative by which the party proposes to install the system in school buses, as has already been done in France.	Just tomorrow, a PSOE 's initiative by which the party proposes to install the system in school buses will be voted by the Congress of Deputies, as has already been done in France.	 Ausgerechnet morgen, wird das Abgeordnetenhaus wegen der Initiative der Spanischen Sozialistischen Arbeiterpartei, die vorschlägt, dieses System in Schulbussen zu installieren, abstimmen. Dies wurde in Frankreich schon gemacht. 
It offers a prize of 300,000 euros.	A prize of 300,000 euros is offered by it.	 Dieses wird mit Geldpreis in Höhe von 300 000 Euro ausgezeichnet. 
This can generate a huge anxiety.	A huge anxiety could be generated by this.	 Das verursacht viel Angst. 
To date, Embraer delivered 41 aircraft to Chinese customers in eight years.	To date, 41 aircraft were delivered by Embraer to Chinese customers in eight years.	 Bis heute hat Embraer 41 Maschinen in acht Jahren an chinesische Kunden geliefert. 
Nearly two out of three Republicans rejected his plan.	His plan was rejected by nearly two out of three Republicans.	 Beinahe zwei von drei Republikanern lehnten seinen Plan ab. 
While Judge Krever delayed in filing his report, some provinces set up a committee aimed at planning a new blood management system in Canada.	While Judge Krever delayed in filing his report, a committee aimed at planning a new blood management system in Canada was set up by some provinces.	 Während Richter Krever noch zögerte, seinen Bericht abzugeben, stellten damals mehrere Provinzen ein Komitee auf die Beine, dessen Ziel es war, ein neues System zur Verwaltung von Blutkonserven in Kanada zu entwickeln. 
The midfielder Antonio Ribeiro scored the decisive goal in the 90th minute on Thursday.	The decisive goal in the 90th minute was scored by the midfielder Antonio Ribeiro on Thursday.	 Der Mittelfeldspieler Antonio Ribeiro schoss das entscheidende Tor in der neunzigsten Spielminute. 
In addition, the bill included catering as well, though their restaurant had not been in function for long.	In addition, catering was included by the bill as well, though their restaurant had not been in function for long.	 Auch sei auf der Rechnung Verpflegung angeführt gewesen, dabei sei das Restaurant seit längerer Zeit nicht mehr in Betrieb. 
In order to justify their theory, the economist members of the research group conducted financial researches as well.	In order to justify their theory, financial researches were conducted by the economist members of the research group as well.	 Um ihre These zu untermauern, haben die Ökonomen in der Forschergruppe zusätzlich Untersuchungen zur Nachverfolgung des Geldes angestellt. 
Anglican bishop Tom Wright welcomed the findings of the research.	The findings of the research were welcomed by anglican bishop Tom Wright.	 Der anglikanische Bischof Tom Wright begrüßte die Ergebnisse der Forschung. 
The Warsaw Stock Exchange submitted a bid to buy the Prague Stock Exchange	A bid to buy the Prague Stock Exchange was submitted by the Warsaw Stock Exchange	 Warschauer Börse legt Kaufangebot für Prager Börse 
"The leading European newspapers were describing the ever-deepening international financial crisis as ""a second September 11th"" in their Tuesday comments."	"The ever - deepening international financial crisis was being described by the leading European newspapers as ""a second September 11th"" in their Tuesday comments."	" In ihren der sich immer weiter zuspitzenden internationalen Finanzkrise gewidmeten Kommentaren sprachen am Dienstag einige führende europäische Blätter bereits vom ""zweiten 11. September"". "
Some of the Madrid press also blame Washington for the situation.	Washington is also blamed by some of the Madrid press for the situation.	 Teile der Presse in Madrid orten den Sündenbock ebenfalls in Washington. 
Industrial domestic sales prices showed a growth of only 0.1 percent compared to the previous month.	A growth of only 0.1 percent was shown by industrial domestic sales prices compared to the previous month.	 Die Verkaufspreise im Inland sind im Vergleich zum Vormonat nur geringfügig, d.h. um 0,1 Prozent gestiegen. 
She called attention to the fact that though there would be no entry permit in the new system, tourists will have to register before travel.	Attention was called by her to the fact that though there would be no entry permit in the new system, tourists will have to register before travel.	 Sie betonte aber auch, dass es in dem neuen System keine Einreiseerlaubnis geben wird, allerdings müssten sich die Touristen im Voraus registrieren. 
